Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree,clustering,triangles,eigencentrality
0,Beak,,0,6,0.346591,0.425956,34.921151,6,0.333333,5,0.442751
1,Beescratch,,1,5,0.371951,0.448634,390.383717,8,0.142857,4,0.356611
2,Bumper,,0,7,0.282407,0.350429,16.603247,4,0.166667,1,0.152172
3,CCL,,0,7,0.308081,0.368735,4.344048,3,0.333333,1,0.256029
4,Cross,,0,8,0.24898,0.293618,0,1,0,0,0.092841
5,DN16,,1,7,0.238281,0.305621,8.015949,4,0.5,3,0.191063
6,DN21,,1,6,0.267544,0.356831,53.751742,6,0.533333,8,0.305039
7,DN63,,1,5,0.365269,0.421858,216.376673,5,0.2,2,0.247425
8,Double,,0,6,0.363095,0.435246,40.9293,6,0.266667,4,0.477527
9,Feather,,1,7,0.252066,0.351522,38.236716,7,0.52381,11,0.329657
10,Fish,,0,7,0.312821,0.392779,29.448398,5,0.4,4,0.276466
11,Five,,0,8,0.24898,0.293618,0,1,0,0,0.092841
12,Fork,,0,7,0.268722,0.309446,0,1,0,0,0.119824
13,Gallatin,,1,6,0.271111,0.375956,96.708781,8,0.5,14,0.377444
14,Grin,,0,6,0.376543,0.494262,113.408769,12,0.257576,17,1
15,Haecksel,,0,6,0.338889,0.423224,60.924764,7,0.238095,5,0.532595
16,Hook,,0,7,0.32973,0.41655,6.047619,6,0.6,9,0.657517
17,Jet,,1,6,0.309645,0.411749,209.169298,9,0.222222,8,0.35681
18,Jonah,,0,7,0.337017,0.432943,27.184466,7,0.52381,11,0.645573
19,Knit,,1,5,0.316062,0.372678,24.365341,4,0.5,3,0.184724
20,Kringel,,0,6,0.391026,0.479235,187.841704,9,0.138889,5,0.627379
21,MN105,,0,7,0.333333,0.422014,23.242197,6,0.533333,8,0.650379
22,MN23,,1,7,0.237354,0.279118,0,1,0,0,0.058727
23,MN60,,0,6,0.333333,0.38224,77.194498,3,0.333333,1,0.286857
24,MN83,,0,7,0.312821,0.410539,13.51097,6,0.533333,8,0.610215
25,Mus,,1,6,0.25523,0.311749,3.00873,3,0.666667,2,0.110748
26,Notch,,1,6,0.277273,0.324863,7.983333,3,0.666667,2,0.10935
27,Number1,,1,5,0.316062,0.38224,53.503455,5,0.4,4,0.193442
28,Oscar,,0,5,0.365269,0.424044,122.165227,5,0.3,3,0.294695
29,Patchback,,0,7,0.322751,0.441959,119.918587,9,0.25,9,0.673294
30,PL,,0,5,0.322751,0.381421,60.482343,5,0.3,3,0.208857
31,Quasi,,1,7,0.237354,0.279118,0,1,0,0,0.058727
32,Ripplefluke,,1,7,0.216312,0.278415,60,3,0.333333,1,0.119279
33,Scabs,,0,6,0.365269,0.469672,104.614585,10,0.333333,15,0.882359
34,Shmuddel,,0,7,0.316062,0.394692,59.83141,5,0.3,3,0.437557
35,SMN5,,0,8,0.24498,0.294399,0,1,0,0,0.093387
36,SN100,,0,5,0.417808,0.480055,454.274069,7,0.047619,1,0.485737
37,SN4,,0,6,0.398693,0.498361,253.582713,11,0.236364,13,0.95912
38,SN63,,0,7,0.32973,0.430211,82.994597,8,0.285714,8,0.624166
39,SN89,,1,5,0.335165,0.370765,129.045705,2,0,0,0.132006
40,SN9,,0,5,0.403974,0.480055,261.963619,8,0.25,7,0.689558
41,SN90,,1,6,0.297561,0.368033,42.550429,5,0.6,6,0.289033
42,SN96,,0,6,0.32973,0.404098,53.359052,6,0.333333,5,0.307612
43,Stripes,,0,7,0.337017,0.432943,114.980006,7,0.238095,5,0.598432
44,Thumper,,0,7,0.311224,0.38103,22.029185,4,0.166667,1,0.260064
45,Topless,,0,7,0.346591,0.468462,74.426906,11,0.309091,17,0.907961
46,TR120,,0,8,0.256303,0.307553,5.505495,2,0,0,0.094981
47,TR77,,0,6,0.338889,0.410656,42.458701,6,0.4,6,0.31867
48,TR82,,1,7,0.232824,0.2742,0,1,0,0,0.062581
49,TR88,,0,8,0.246964,0.294165,1.7,2,0,0,0.075563
50,TR99,,0,7,0.350575,0.449336,61.142194,7,0.238095,5,0.697945
51,Trigger,,0,7,0.32973,0.44114,154.959376,10,0.244444,11,0.667463
52,TSN103,,0,6,0.342697,0.406831,35.198851,4,0.333333,2,0.411339
53,TSN83,,0,8,0.259574,0.311105,2.183333,2,0,0,0.108332
54,Upbang,,1,5,0.324468,0.405464,181.392614,7,0.380952,8,0.345005
55,Vau,,0,7,0.271111,0.325566,1.605769,2,0,0,0.16706
56,Wave,,1,7,0.213287,0.263388,0.25,2,0,0,0.080817
57,Web,,1,6,0.30198,0.402732,154.094571,9,0.361111,13,0.387156
58,Whitetip,,0,8,0.24898,0.290886,0,1,0,0,0.086229
59,Zap,,0,6,0.342697,0.405464,37.208978,5,0.3,3,0.371485
60,Zig,,1,8,0.178363,0.212237,0,1,0,0,0.020519
61,Zipfel,,0,7,0.30198,0.359173,25.976818,3,0,0,0.172357
